tag,split_train,epochs,balanced,model,val_acc,test_acc,test_prec_macro,test_rec_macro,test_f1_macro
RandomForest@80-19_10e_bal_1760458469,0.8,10,True,RandomForest,,0.9828563653680439,0.9726302859510753,0.8589481382563207,0.9068595607388981
RandomForest@80-19_20e_bal_1760459234,0.8,20,True,RandomForest,,0.9828563653680439,0.9726302859510753,0.8589481382563207,0.9068595607388981
RandomForest@80-19_30e_bal_1760460291,0.8,30,True,RandomForest,,0.9828563653680439,0.9726302859510753,0.8589481382563207,0.9068595607388981
LSTM1D@80-19_30e_bal_1760460109,0.8,30,True,LSTM1D,0.9827644857693616,0.9792280829062543,0.8952406263435073,0.8991477871005966,0.8971199961172893
LSTM1D@80-19_20e_bal_1760459052,0.8,20,True,LSTM1D,0.9741467286540424,0.9722889926980816,0.8434096453247472,0.9037892596456555,0.870623376233438
SimpleCNN1D@80-19_30e_bal_1760459610,0.8,30,True,SimpleCNN1D,0.9654155799977322,0.9627647512358837,0.8300264007408605,0.8373695780188857,0.828946250355999
LSTM1D@80-19_10e_bal_1760458287,0.8,10,True,LSTM1D,0.9604263521941263,0.9617216200281192,0.7802708940419139,0.8731269437555109,0.8135604749029147
SimpleCNN1D@80-19_20e_bal_1760458719,0.8,20,True,SimpleCNN1D,0.9530559020297086,0.953013742119824,0.7692408705851335,0.8443706830684476,0.7967007846880664
SimpleCNN1D@80-19_10e_bal_1760458121,0.8,10,True,SimpleCNN1D,0.9208527043882526,0.9178647557712368,0.674659055185985,0.8407919991403588,0.7230689646492074
