split_train,epochs,better_mode_by_F1,delta_f1_bal_minus_raw,delta_acc_bal_minus_raw
0.6,10,balanced,0.15726946837623434,-0.012098328684491011
0.6,20,balanced,0.10126803433548726,0.007755629634669137
0.6,30,balanced,0.12441865588624101,0.014785586321064859
0.7,10,balanced,0.26913332581284943,0.03140023584192542
0.7,20,balanced,0.051868740565772065,0.006818250536691606
0.7,30,balanced,0.013244088876047111,0.001995585522934107
0.8,10,balanced,0.16277532410701734,-9.070706154468144e-05
0.8,20,balanced,0.0705941679965768,0.0069617669735588805
0.8,30,balanced,0.0065680360661593,0.0002040908884755055
